City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kidal,18.4411,1.4078,20.31,18,50,5.01,ML,1667886663
84,lebu,-37.6167,-73.65,11.86,85,100,4.68,CL,1667886663
85,saint anthony,45.0205,-93.218,2.53,70,0,4.63,US,1667886664
86,dubrovnik,42.6481,18.0922,12.8,82,0,3.09,HR,1667886490
87,pisco,-13.7,-76.2167,15.03,82,0,1.03,PE,1667886664
88,gewane,10.1664,40.6453,28.62,38,5,0.88,ET,1667886665
89,kaitangata,-46.2817,169.8464,14.28,74,87,1.81,NZ,1667886665
90,muros,42.7762,-9.0603,16.72,79,100,7.9,ES,1667886665
91,torbay,47.6666,-52.7314,14.31,95,100,8.75,CA,1667886666
92,kodiak,57.79,-152.4072,3.73,87,100,5.66,US,1667886666
93,te anau,-45.4167,167.7167,17.31,57,26,1.97,NZ,1667886666
94,sur,22.5667,59.5289,29.89,49,71,1.52,OM,1667886667
95,luderitz,-26.6481,15.1594,18.81,73,56,3.12,NA,1667886667
96,saint-philippe,-21.3585,55.7679,26.77,76,26,5.07,RE,1667886668
97,oshnaviyeh,37.0397,45.0983,7.79,79,100,1.86,IR,1667886668
98,namibe,-15.1961,12.1522,20.94,69,0,2.44,AO,1667886668
99,stilfontein,-26.8449,26.7683,16.03,86,100,4.3,ZA,1667886669
100,kavieng,-2.5744,150.7967,28.91,69,100,2.75,PG,1667886669
101,bilibino,68.0546,166.4372,-20.99,94,33,2.11,RU,1667886670
102,longyearbyen,78.2186,15.6401,-5.09,80,75,5.14,SJ,1667886670
103,campbell river,50.0163,-125.2446,-0.26,68,40,3.09,CA,1667886670
104,thinadhoo,0.5333,72.9333,27.88,76,46,7.84,MV,1667886671
105,tianjin,39.1422,117.1767,16.97,29,2,3.0,CN,1667886671
106,berlevag,70.8578,29.0864,1.0,93,100,5.14,NO,1667886671
107,san angelo,31.4638,-100.437,20.33,87,57,2.24,US,1667886672
108,barrow,71.2906,-156.7887,-2.99,86,100,10.8,US,1667886672
109,butaritari,3.0707,172.7902,27.17,74,15,2.96,KI,1667886672
110,port elizabeth,-33.918,25.5701,20.17,79,0,5.14,ZA,1667886673
111,waingapu,-9.6567,120.2641,30.17,64,74,3.66,ID,1667886673
112,port alfred,-33.5906,26.891,18.99,85,100,2.24,ZA,1667886674
113,batemans bay,-35.7167,150.1833,20.61,58,0,5.62,AU,1667886674
